Username,Comment,Date
a*****p,"not bad but the shipping was so slow. its literally in the same area and i got it 1 week and a half later. when i received it, most of the box parts are dented. very tightly wrapped which is good but super hard to remove the box from the bubble wrap. overall, not bad just wished it arrives faster",2023-08-29
h*****5,"Skin Suitability:Good
Effectiveness:Good

Good value for money
Come with good condition
Thank you seller",2023-08-29
norahebat31,"Got this during super brand sale, usually month end. Sangat berbaloi. Grab ikut timing promo. Free gift pun best. Packaging secure. Recommended",2023-08-31
w*****0,Fast delivery and good product . And thank you for the free gift 🎁 ,2023-08-29
d*****i,"harga murah dari kedai lain, good, barang pun tak kemek , thankyou seller",2023-08-15
f*****_,"Barang diterima dalam keadaan baik
Cuma kecewa beli banyak2 tapi wrap dengan bubble wrap biasa je .. takde wrap dalam kotak
Harap oneday boleh wrap barang dalam kotak . Mujur barang tak rosak..thank you",2023-08-29
s*****a,Harap berkesan penghantaran cepat  barang OK ni baru nak try,2024-01-03
s*****8,Received products in good condition. Received the free gift from seller after certain amount of purchase. The only things is that Pos Laju delivery  really slow.,2023-08-29
h*****7,"Terbaikkk..mmg sentiasa beli kt sini je, dah tak beli dekat drug store. Harga berbaloi dan lagi murah. Free gift pn best-best. Thank you seller ❤️",2023-08-29
8*****u,"Effectiveness:Ok but not obvious

Item received in good condition, product quality ok",2023-11-28
k*****3,"Effectiveness:Superd

×N times purchase for this product, friendly to use, worth the price.",2023-08-29
ezzaty.cheng,"Received the items in good condition , great product with expired date on 06/2025",2023-08-29
nrl_whda,Seller pos laju and barang dalam keadaan yang baik.. Ada bubble wrap.. Tq,2023-08-31
huishan0823,"Skin Suitability:all
Effectiveness:ok

Received in good condition. Seller pack it nicely with box. Expired may2028",2023-11-17
qayusan,"Skin Suitability:okay
Effectiveness:boleh jaaa

Barang selamat sampai dalam keadaaan elok dan sempurna",2023-08-29
atqh.rshd,Safely arrived in good condition. Received within a day. Gonna try this one for the first time. Hope it works well,2023-08-31
y*****0,"Item received in good condition, quality is ok, thanks seller.",2023-08-29
cindychia840318,"Skin Suitability:Good
Effectiveness:Good

Very good offer by the seller as I only bought this product at RM10! Product definitely is very good!",2023-10-24
m*****n,item received in good condition. delivery ok. thank you seller.,2023-08-29
tulips0089,Very secure packaging..even beli sikit je..dpt kotak..items worth for the money..klau blu kt physical store like watson mahal skit..thankyou seller..hrp brkesan..usually pki ok je..,2023-08-29
j*****8,"Effectiveness:good
Skin Suitability:good

Good acne patch and effective for my new pimples. Brought it during promotion price, worth to buy it.",2023-11-16
m*****n,item received in good condition. packed in box with bubble wrap. thank you,2023-08-29
siti_sufiah,"This work so well with my pimples. Fast delivery, secure. Good good",2023-08-29
m*****e,"Skin Suitability:ok

Barang sampai dengan keadaan yang baik dan kemas. Thanks you",2023-08-29
h*****9,"Mantappo..... Brg baik, cepat je smpai, bole repeat order...... Terbaik terbaik................",2023-08-31
